Stimulus Consonant	Response Consonant	Context	Correct
SH	SH	ey	Y
C	CH	iy	N
SH	CH	eh	N
C	??	ao	N
C	C	eh	Y
CH	CH	ue	Y
K	C	ix	N
T	T	eh	Y
T	T	ae	Y
CH	CH	aa	Y
T	T	ah	Y
SH	SH	ao	Y
T	T	iy	Y
K	K	aa	Y
K	??	ao	N
CH	CH	y	Y
T	CH	ow	N
CH	CH	ah	Y
K	C	ey	N
C	T	aa	N
CH	CH	uw	Y
K	C	ue	N
T	T	ao	Y
T	C	ey	N
CH	CH	ix	Y
C	K	ey	N
SH	SH	ow	Y
K	T	iy	N
CH	CH	ae	Y
C	T	ae	N
K	K	ah	Y
C	CH	uw	N
K	T	ae	N
SH	??	iy	N
SH	SH	ah	Y
K	K	uw	Y
K	C	y	N
C	T	y	N
K	C	eh	N
T	K	ue	N
C	T	ah	N
SH	SH	aa	Y
T	C	y	N
T	T	uw	Y
K	??	ow	N
T	T	ix	Y
T	T	aa	Y
CH	CH	iy	Y
CH	CH	eh	Y
SH	SH	y	Y
SH	SH	ue	Y
C	C	ix	Y
CH	CH	ow	Y
C	C	ue	Y
SH	SH	ae	Y
CH	CH	ao	Y
C	C	ow	Y
SH	SH	ix	Y
SH	SH	uw	Y
CH	CH	ey	Y
