Stimulus Consonant	Response Consonant	Context	Correct
CH	CH	ae	Y
C	T	ey	N
CH	CH	ey	Y
T	T	ah	Y
C	K	uw	N
SH	CH	ey	N
C	CH	eh	N
K	K	ey	Y
K	T	ix	N
K	??	y	N
T	SH	ue	N
SH	SH	iy	Y
T	T	ao	Y
C	??	ue	N
T	T	uw	Y
T	T	ey	Y
K	K	ae	Y
C	CH	ix	N
K	K	eh	Y
SH	SH	uw	Y
K	K	aa	Y
C	T	ae	N
K	K	ue	Y
K	K	ah	Y
K	K	iy	Y
T	T	ae	Y
T	T	ix	Y
CH	C	ao	N
CH	C	ue	N
CH	CH	iy	Y
CH	CH	uw	Y
SH	CH	ao	N
CH	C	ah	N
SH	C	ix	N
SH	SH	ae	Y
K	??	ao	N
SH	SH	ue	Y
T	T	aa	Y
C	C	iy	Y
SH	CH	y	N
CH	C	aa	N
C	C	aa	Y
C	??	y	N
C	C	ow	Y
T	T	ow	Y
SH	SH	aa	Y
C	T	ao	N
K	K	uw	Y
T	K	y	N
SH	SH	ow	Y
SH	SH	eh	Y
T	T	eh	Y
CH	CH	y	Y
CH	C	ow	N
SH	SH	ah	Y
C	T	ah	N
CH	C	eh	N
K	??	ow	N
CH	C	ix	N
T	T	iy	Y
