Stimulus Consonant	Response Consonant	Context	Correct
K	K	ix	Y
CH	CH	ae	Y
T	CH	eh	N
T	T	uw	Y
CH	CH	ue	Y
K	??	ow	N
C	K	ix	N
CH	CH	ey	Y
SH	CH	ue	N
K	K	ao	Y
SH	SH	ae	Y
T	T	ao	Y
K	K	ah	Y
SH	SH	ow	Y
T	T	ey	Y
SH	SH	iy	Y
C	CH	ue	N
SH	SH	uw	Y
T	T	iy	Y
CH	CH	ah	Y
K	K	y	Y
C	K	ey	N
K	K	eh	Y
T	T	ae	Y
K	CH	ue	N
SH	SH	eh	Y
C	K	y	N
SH	CH	ao	N
T	T	ow	Y
T	C	y	N
C	C	eh	Y
CH	CH	ow	Y
C	CH	iy	N
T	T	ah	Y
T	T	ix	Y
CH	CH	aa	Y
CH	CH	ao	Y
CH	CH	uw	Y
C	T	ae	N
CH	CH	y	Y
CH	CH	iy	Y
C	K	ao	N
K	K	uw	Y
K	K	aa	Y
C	CH	aa	N
SH	SH	ix	Y
CH	CH	eh	Y
SH	CH	ey	N
K	K	ae	Y
C	T	ah	N
C	CH	uw	N
CH	CH	ix	Y
SH	SH	aa	Y
C	T	ow	N
T	T	aa	Y
SH	CH	y	N
SH	SH	ah	Y
K	C	iy	N
T	K	ue	N
K	K	ey	Y
