Stimulus Consonant	Response Consonant	Context	Correct
SH	CH	eh	N
T	T	eh	Y
K	K	uw	Y
K	K	aa	Y
SH	SH	ah	Y
C	T	iy	N
T	T	ao	Y
T	T	ow	Y
T	T	iy	Y
CH	CH	ey	Y
C	K	ow	N
SH	SH	ow	Y
CH	CH	ow	Y
C	K	ao	N
CH	CH	iy	Y
K	K	ix	Y
K	K	iy	Y
CH	CH	y	Y
K	K	eh	Y
K	K	ae	Y
K	K	ah	Y
K	K	ow	Y
SH	CH	ue	N
C	K	y	N
CH	CH	ao	Y
T	K	ue	N
C	K	ey	N
T	T	y	Y
CH	CH	ae	Y
K	K	y	Y
SH	SH	ae	Y
C	CH	aa	N
CH	CH	aa	Y
SH	CH	y	N
CH	CH	ah	Y
CH	CH	eh	Y
C	T	ae	N
T	T	ey	Y
T	T	uw	Y
CH	CH	uw	Y
SH	SH	ey	Y
CH	CH	ix	Y
SH	SH	aa	Y
SH	SH	ao	Y
T	T	ae	Y
CH	CH	ue	Y
SH	SH	iy	Y
K	K	ue	Y
C	K	uw	N
T	T	aa	Y
SH	SH	ix	Y
K	K	ey	Y
T	T	ah	Y
SH	SH	uw	Y
T	T	ix	Y
C	T	ah	N
C	CH	eh	N
K	K	ao	Y
C	CH	ix	N
C	T	ue	N
