Stimulus Consonant	Response Consonant	Context	Correct
K	??	aa	N
K	??	ow	N
C	C	y	Y
CH	CH	ix	Y
K	T	ue	N
CH	CH	aa	Y
K	??	y	N
CH	C	y	N
K	??	iy	N
CH	CH	uw	Y
T	??	ow	N
K	??	ao	N
SH	SH	ao	Y
T	??	ao	N
K	T	ae	N
T	T	ah	Y
CH	C	ae	N
SH	SH	eh	Y
C	CH	ah	N
CH	C	ey	N
SH	SH	ey	Y
T	T	ix	Y
CH	C	iy	N
C	C	ow	Y
SH	SH	ah	Y
SH	SH	uw	Y
T	T	aa	Y
T	T	ey	Y
T	CH	uw	N
K	K	uw	Y
C	K	uw	N
CH	CH	ow	Y
SH	SH	y	Y
K	K	ix	Y
T	T	iy	Y
C	K	eh	N
C	K	ix	N
SH	SH	aa	Y
T	T	eh	Y
C	CH	aa	N
SH	SH	ow	Y
CH	C	ah	N
K	K	eh	Y
C	T	ao	N
T	T	ue	Y
SH	SH	iy	Y
CH	C	ao	N
T	T	y	Y
C	T	ae	N
SH	SH	ix	Y
CH	C	eh	N
K	??	ah	N
SH	SH	ae	Y
C	??	ue	N
T	T	ae	Y
CH	C	ue	N
C	T	iy	N
K	K	ey	Y
C	K	ey	N
SH	SH	ue	Y
