Stimulus Consonant	Response Consonant	Context	Correct
SH	SH	uw	Y
SH	SH	ah	Y
T	K	y	N
K	C	y	N
C	K	ey	N
C	T	ah	N
K	K	ue	Y
SH	CH	y	N
T	T	eh	Y
SH	SH	aa	Y
SH	SH	ey	Y
T	T	ae	Y
T	T	ix	Y
CH	CH	ue	Y
K	K	ow	Y
SH	CH	ao	N
SH	CH	eh	N
C	CH	uw	N
SH	SH	ix	Y
C	K	y	N
K	K	ah	Y
C	CH	iy	N
CH	CH	ow	Y
CH	CH	iy	Y
SH	CH	ow	N
T	T	ao	Y
T	T	aa	Y
CH	CH	ey	Y
T	T	ow	Y
CH	CH	aa	Y
C	T	eh	N
K	K	ae	Y
SH	CH	ue	N
CH	CH	ix	Y
T	T	ah	Y
CH	CH	ae	Y
CH	CH	ah	Y
C	T	ao	N
CH	CH	ao	Y
K	K	eh	Y
CH	CH	uw	Y
T	T	ey	Y
T	T	iy	Y
T	K	ue	N
CH	CH	y	Y
T	T	uw	Y
C	CH	aa	N
K	K	aa	Y
K	K	ao	Y
SH	CH	iy	N
K	K	ix	Y
SH	CH	ae	N
CH	CH	eh	Y
C	T	ow	N
K	K	ey	Y
K	K	uw	Y
C	T	ae	N
K	T	iy	N
C	C	ue	Y
C	K	ix	N
