Stimulus Consonant	Response Consonant	Context	Correct
CH	CH	ah	Y
K	K	ao	Y
SH	SH	aa	Y
T	T	ue	Y
C	CH	eh	N
SH	SH	ao	Y
SH	SH	eh	Y
C	K	ao	N
T	T	eh	Y
T	T	ey	Y
C	T	ah	N
T	T	uw	Y
CH	CH	eh	Y
C	K	uw	N
T	T	aa	Y
K	T	iy	N
K	C	y	N
T	T	ow	Y
K	C	uw	N
C	K	ix	N
SH	SH	ey	Y
CH	CH	ix	Y
C	T	ow	N
SH	SH	uw	Y
K	K	eh	Y
CH	CH	aa	Y
SH	SH	y	Y
CH	CH	ey	Y
K	K	aa	Y
CH	CH	iy	Y
C	T	y	N
CH	CH	ue	Y
T	T	ah	Y
C	CH	aa	N
C	C	ue	Y
K	C	ix	N
C	T	ae	N
CH	CH	ow	Y
K	K	ow	Y
SH	SH	ix	Y
T	T	ix	Y
K	T	ae	N
T	T	ae	Y
K	T	ue	N
CH	CH	ae	Y
CH	CH	y	Y
T	T	iy	Y
CH	CH	uw	Y
K	C	ey	N
T	T	ao	Y
SH	SH	iy	Y
C	C	ey	Y
K	K	ah	Y
CH	CH	ao	Y
C	T	iy	N
SH	SH	ae	Y
SH	SH	ah	Y
SH	SH	ow	Y
T	T	y	Y
SH	SH	ue	Y
