Stimulus Consonant	Response Consonant	Context	Correct
SH	SH	iy	Y
C	??	uw	N
K	C	ao	N
SH	T	ix	N
C	??	ah	N
T	SH	ix	N
CH	CH	ix	Y
T	T	uw	Y
K	??	aa	N
C	C	aa	Y
T	T	y	Y
K	??	ix	N
T	C	ue	N
C	CH	eh	N
CH	C	ey	N
CH	C	ao	N
SH	SH	ao	Y
K	K	eh	Y
CH	C	ah	N
SH	??	ey	N
CH	CH	ow	Y
CH	CH	aa	Y
SH	SH	ue	Y
SH	SH	uw	Y
K	??	ae	N
SH	SH	aa	Y
C	??	y	N
CH	C	uw	N
K	??	ey	N
T	??	ey	N
SH	CH	ow	N
CH	CH	eh	Y
CH	C	ue	N
T	T	eh	Y
K	K	uw	Y
T	T	iy	Y
CH	C	iy	N
T	T	ae	Y
SH	C	y	N
CH	CH	ae	Y
T	T	ah	Y
C	T	ae	N
T	T	ow	Y
C	??	ow	N
C	T	iy	N
C	SH	ix	N
T	T	ao	Y
K	T	ah	N
CH	C	y	N
C	??	ey	N
K	??	y	N
SH	SH	ah	Y
K	K	ow	Y
K	C	ue	N
SH	CH	eh	N
T	T	aa	Y
C	??	ue	N
SH	C	ae	N
C	CH	ao	N
K	T	iy	N
