Stimulus Consonant	Response Consonant	Context	Correct
CH	C	iy	N
K	SH	ix	N
K	T	y	N
SH	T	y	N
T	SH	ue	N
K	K	aa	Y
K	C	iy	N
K	T	uw	N
SH	CH	aa	N
SH	K	ow	N
SH	SH	ue	Y
T	CH	aa	N
T	SH	ix	N
T	CH	ow	N
CH	SH	ey	N
T	SH	eh	N
CH	CH	ow	Y
CH	CH	ah	Y
CH	T	uw	N
C	SH	ue	N
K	SH	ey	N
T	T	ey	Y
CH	CH	ae	Y
CH	T	y	N
SH	SH	ix	Y
T	T	ao	Y
CH	CH	ao	Y
C	K	uw	N
K	C	ao	N
C	CH	aa	N
CH	CH	eh	Y
C	C	ix	Y
C	K	ey	N
SH	SH	ae	Y
K	K	ah	Y
SH	SH	uw	Y
C	T	iy	N
C	C	y	Y
C	T	ah	N
K	K	ow	Y
CH	CH	aa	Y
K	C	ae	N
T	T	iy	Y
T	T	y	Y
T	T	ah	Y
T	T	uw	Y
T	T	ae	Y
SH	SH	ah	Y
CH	CH	ix	Y
C	C	eh	Y
K	K	eh	Y
SH	SH	ao	Y
C	T	ae	N
SH	SH	eh	Y
CH	CH	ue	Y
SH	SH	ey	Y
C	T	ao	N
C	T	ow	N
K	C	ue	N
SH	SH	iy	Y
